handcrafted_solvetime,tot_solvetime,handcrafted_objective,tot_objective,grouplabels
149.883,149.814,2,16,15
149.883,149.793,2,16,15
149.883,149.785,2,16,15
149.883,149.794,2,16,15
149.883,149.684,2,16,15
149.883,149.769,2,16,15
149.883,149.79,2,16,15
149.883,149.677,2,16,15
149.883,149.725,2,16,15
0.087,0.304,5,9,16
0.087,0.091,5,9,16
0.087,0.268,5,9,16
0.087,0.086,5,9,16
0.087,0.109,5,9,16
0.087,0.084,5,9,16
0.087,0.083,5,9,16
0.087,0.295,5,9,16
0.087,0.305,5,9,16
0.087,0.084,5,9,16
0.087,0.093,5,9,16
0.087,0.285,5,9,16
0.087,0.098,5,9,16
0.087,0.091,5,9,16
0.087,0.099,5,9,16
0.019,0.04,2,3,17
0.019,0.039,2,3,17
0.019,0.042,2,3,17
0.019,0.039,2,3,17
0.019,149.799,2,20,17
0.019,0.066,2,3,17
0.019,0.09,2,6,17
0.019,0.045,2,3,17
0.019,0.027,2,3,17
0.019,0.026,2,3,17
0.019,0.193,2,3,17
0.019,0.043,2,3,17
0.019,149.788,2,20,17
0.019,0.036,2,3,17
0.019,0.107,2,3,17
0.019,0.118,2,3,17
0.039,0.042,4,5,18
0.039,0.239,4,5,18
0.039,0.229,4,5,18
0.039,0.149,4,5,18
0.039,27.454,4,5,18
0.039,0.068,4,5,18
0.039,0.088,4,5,18
0.039,0.042,4,5,18
0.09,0.236,4,5,19
0.09,0.137,4,5,19
0.09,25.514,4,5,19
0.09,0.115,4,5,19
0.09,0.606,4,5,19
0.09,0.584,4,5,19
0.09,0.751,4,5,19
0.09,0.672,4,5,19
0.09,0.577,4,5,19
0.09,0.421,4,5,19
0.09,0.583,4,5,19
0.09,0.114,4,5,19
0.09,0.078,4,5,19
0.09,0.462,4,5,19
0.09,0.387,4,5,19
0.09,149.687,4,17,19
0.064,0.072,6,6,0
0.064,0.14,6,6,0
0.064,0.269,6,6,0
0.064,0.327,6,6,0
0.064,0.125,6,6,0
0.064,1.788,6,6,0
0.064,1.677,6,6,0
0.064,0.097,6,6,0
0.064,0.097,6,6,0
0.064,0.172,6,6,0
0.064,149.751,6,20,0
0.064,0.068,6,6,0
0.018,0.032,1,1,1
0.018,0.03,1,1,1
0.018,0.031,1,1,1
0.018,0.028,1,1,1
0.018,2.412,1,1,1
0.018,149.627,1,20,1
0.018,149.632,1,20,1
0.018,0.03,1,1,1
0.018,0.056,1,1,1
0.016,149.555,1,20,2
0.016,0.046,1,1,2
0.016,0.044,1,1,2
0.016,0.06,1,1,2
0.016,0.028,1,1,2
0.016,149.211,1,20,2
0.016,149.681,1,20,2
0.016,149.638,1,20,2
0.016,0.043,1,1,2
0.016,0.039,1,1,2
0.016,0.045,1,1,2
0.016,0.648,1,1,2
0.016,0.699,1,1,2
0.016,0.046,1,1,2
0.016,0.05,1,1,2
0.031,0.058,2,4,3
0.031,0.059,2,4,3
0.031,0.04,2,4,3
0.031,0.051,2,4,3
0.031,0.099,2,4,3
0.031,0.077,2,4,3
0.023,0.059,6,7,4
0.023,0.061,6,7,4
0.023,0.071,6,7,4
0.023,0.05,6,7,4
0.023,0.184,6,7,4
0.023,0.059,6,7,4
0.023,0.064,6,7,4
0.023,0.232,6,7,4
0.023,0.075,6,7,4
0.023,0.066,6,7,4
0.023,0.253,6,7,4
0.023,0.069,6,7,4
0.023,0.323,6,7,4
0.023,0.051,6,7,4
0.023,0.052,6,7,4
0.023,0.057,6,7,4
0.017,0.034,1,1,5
0.017,0.04,1,1,5
0.017,109.335,1,1,5
0.017,149.676,1,7,5
0.017,0.047,1,1,5
0.017,0.036,1,1,5
0.017,0.029,1,1,5
0.017,0.031,1,1,5
0.017,149.623,1,7,5
0.017,149.67,1,7,5
0.017,0.031,1,1,5
0.017,0.034,1,1,5
0.017,0.076,1,1,5
0.017,0.068,1,1,5
0.017,0.041,1,1,5
0.017,0.028,1,1,5
0.026,0.075,3,5,6
0.026,0.078,3,5,6
0.026,0.053,3,5,6
0.026,0.092,3,5,6
0.026,0.13,3,5,6
0.026,0.087,3,5,6
