solvetime_diff,handcrafted_obj,tot_obj,count
0.061,3,4,2
149.628,3,20,1
0.066,3,4,1
0.067,3,4,1
0.11,3,4,1
0.056,3,4,1
0.189,3,4,1
0.309,3,4,1
1.27,7,7,1
1.777,7,7,1
0.525,7,7,1
0.48,7,7,1
0.499,7,7,1
0.326,7,7,1
0.531,7,7,1
1.344,7,7,1
0.366,7,7,1
1.634,7,7,1
0.323,7,7,1
0.33,7,7,1
149.783,7,20,1
0.324,7,7,1
0.342,7,7,1
0.119,5,5,1
0.053,5,5,1
0.152,5,5,1
0.048,5,5,1
0.105,5,5,1
0.136,5,5,1
0.218,5,5,1
0.075,5,5,1
0.104,5,5,1
0.106,5,5,1
0.072,5,5,1
0.84,5,5,1
5.218,13,13,1
8.456,13,13,1
17.814,13,13,1
18.558,13,13,1
7.42,13,13,1
7.842,13,13,1
11.266,13,13,1
16.294,13,13,1
13.193,13,13,1
11.351,13,13,1
6.634,13,13,1
5.015,13,13,1
4.997,13,13,1
11.318,13,13,1
149.765,2,16,1
149.599,2,20,1
149.662,2,16,1
149.774,2,16,1
149.68,2,16,2
149.133,2,16,1
149.658,2,16,1
149.652,2,16,1
149.723,2,16,1
149.651,2,16,1
149.678,2,16,2
149.77,2,16,1
149.669,2,16,1
0.124,5,9,1
0.12,5,9,1
0.442,5,9,1
3.336,5,9,1
0.398,5,9,1
0.145,5,9,1
0.08,5,9,1
0.214,5,9,1
149.754,5,20,1
0.119,5,9,1
0.105,5,9,1
149.805,5,20,1
0.084,2,3,1
0.093,2,3,1
0.085,2,3,1
0.05,2,3,1
0.055,2,3,1
0.535,2,3,1
149.767,2,20,1
0.055,4,5,3
0.039,4,5,1
0.033,4,5,1
0.045,4,5,2
0.046,4,5,2
0.056,4,5,2
0.19,4,5,1
0.611,4,5,1
0.626,4,5,1
0.643,4,5,1
0.302,4,5,1
0.412,4,5,1
0.122,4,5,2
0.154,4,5,1
23.092,4,5,1
0.118,4,5,1
0.136,4,5,1
25.49,4,5,1
39.391,4,5,1
0.099,4,5,1
0.361,4,5,1
0.194,6,6,1
0.115,6,6,1
0.167,6,6,1
0.165,6,6,1
0.071,6,6,1
0.089,6,6,1
0.063,6,6,1
0.306,6,6,1
0.073,6,6,1
0.186,6,6,1
0.035,1,1,1
8.487,1,1,1
0.047,1,1,1
149.765,1,20,1
0.352,1,1,1
0.04,1,1,2
149.538,1,20,1
0.034,1,1,1
149.667,1,20,1
4.843,1,1,1
0.042,1,1,1
0.056,1,1,1
149.775,1,20,1
149.445,1,20,1
0.031,1,1,1
149.649,1,20,1
0.211,2,4,1
149.62,2,20,1
0.042,2,4,1
0.041,2,4,1
0.092,2,4,1
0.047,6,7,1
31.327,6,7,1
0.254,6,7,1
149.756,6,20,1
0.063,6,7,1
0.108,6,7,1
0.076,6,7,1
0.239,6,7,1
0.074,1,1,1
33.855,1,1,1
99.537,1,1,1
0.059,1,1,2
0.037,1,1,2
0.065,1,1,1
0.042,1,1,1
149.155,1,20,1
38.574,1,1,1
0.27,3,5,1
0.564,3,5,1
0.088,3,5,1
0.246,3,5,1
0.464,3,5,1
0.077,3,5,1
16.888,3,5,1
149.653,1,20,1
0.107,1,1,1
0.067,1,1,1
0.074,1,1,1
0.135,1,1,2
0.066,1,1,1
0.049,1,1,2
149.617,1,20,1
0.048,1,1,1
149.646,1,20,2
149.196,1,20,1
149.659,1,20,1
0.039,1,1,1
0.068,1,1,1
0.069,1,1,1
149.696,1,20,1
0.038,1,1,1
103.749,5,6,1
1.736,5,6,1
2.026,5,6,1
1.1,5,6,1
43.57,5,6,1
1.166,5,6,1
1.031,5,6,1
1.021,5,6,1
4.855,5,6,1
2.474,5,6,1
10.955,5,7,1
74.34,5,7,1
9.622,5,7,1
9.354,5,7,1
9.285,5,7,1
35.656,5,7,1
16.236,5,7,1
22.432,5,7,1
6.189,5,7,1
6.061,5,7,1
18.268,5,6,1
17.767,5,6,1
17.69,5,6,1
19.473,5,6,1
0.045,3,4,1
0.042,3,4,1
25.164,3,4,1
82.534,3,4,1
0.048,3,4,1
0.078,3,4,1
0.104,3,4,1
9.154,3,13,1
0.359,3,4,1
0.695,3,4,1
0.595,7,7,1
0.665,7,7,1
0.536,7,7,1
0.37,7,7,1
15.6,7,7,1
0.397,7,7,1
18.229,7,7,1
0.302,7,7,1
0.056,5,5,1
0.077,5,5,1
0.113,5,5,1
0.101,5,5,1
0.344,5,5,1
149.778,5,20,1
0.09,5,5,1
0.381,5,5,1
0.248,5,5,1
0.504,5,5,1
0.751,5,5,1
0.095,5,5,1
11.914,13,13,1
43.948,13,13,1
41.473,13,13,1
14.574,13,13,1
23.663,13,13,1
18.387,13,13,1
7.93,13,13,1
7.986,13,13,1
25.524,13,13,1
10.318,13,13,1
4.699,13,13,1
7.559,13,13,1
8.533,13,13,1
149.655,2,16,1
149.731,2,16,1
149.744,2,16,1
149.509,2,16,1
149.771,2,16,2
149.625,2,16,1
149.777,2,16,1
149.749,2,16,1
149.739,2,16,1
149.767,2,16,1
149.766,2,16,1
0.261,5,9,1
0.202,5,9,1
0.094,5,9,1
0.262,5,9,1
0.095,5,9,1
0.088,5,9,1
0.252,5,9,1
0.261,2,3,1
0.029,2,3,1
0.048,2,3,1
0.041,2,3,1
0.056,2,3,1
0.037,2,3,1
0.498,2,3,1
0.379,2,3,1
0.052,2,3,1
0.172,2,3,1
0.197,4,5,1
0.076,4,5,1
0.04,4,5,1
1.403,4,5,1
0.078,4,5,1
0.303,4,5,1
0.237,4,5,1
0.123,4,5,1
0.298,4,5,1
0.168,4,5,1
0.127,4,5,1
0.253,4,5,1
0.165,4,5,1
0.194,4,5,1
0.215,4,5,1
0.218,4,5,1
0.217,4,5,1
0.109,4,5,1
0.458,4,5,1
0.102,4,5,1
