handcrafted,tot,grouplabels
0.238,0.236,0
0.238,0.227,0
0.238,0.21499999999999997,0
0.105,0.142,1
0.105,0.13399999999999998,1
0.105,0.11599999999999999,1
0.105,0.139,1
0.105,149.833,1
0.105,0.31,1
0.11299999999999999,149.721,2
0.11299999999999999,0.112,2
0.11299999999999999,0.152,2
0.11299999999999999,0.109,2
0.11299999999999999,0.135,2
0.11299999999999999,0.11699999999999999,2
0.11299999999999999,0.16299999999999998,2
0.11299999999999999,0.108,2
0.11299999999999999,0.105,2
0.11299999999999999,0.11,2
0.11299999999999999,0.119,2
0.11299999999999999,0.499,2
0.11299999999999999,0.164,2
0.11299999999999999,0.138,2
0.11299999999999999,0.149,2
0.11299999999999999,0.162,2
0.155,0.177,3
0.155,0.158,3
0.155,0.192,3
0.155,0.17,3
0.155,0.174,3
0.155,0.595,3
0.155,0.617,3
0.155,149.821,3
0.155,0.271,3
0.155,0.174,3
0.155,0.25,3
0.155,0.26,3
0.155,149.85100000000003,3
0.155,149.768,3
0.111,0.184,4
0.111,0.565,4
0.111,0.15999999999999998,4
0.111,0.355,4
0.111,0.176,4
0.111,0.577,4
0.111,0.189,4
0.111,0.181,4
0.111,61.56100000000001,4
0.111,0.208,4
0.111,0.14200000000000002,4
0.111,0.519,4
0.111,0.16,4
0.111,0.15699999999999997,4
0.124,0.21800000000000003,5
0.124,149.77100000000002,5
0.124,0.207,5
0.124,0.186,5
0.124,0.133,5
0.124,80.6,5
0.124,0.137,5
0.124,0.121,5
0.124,0.197,5
0.124,149.76100000000002,5
0.124,0.135,5
0.124,0.126,5
0.124,0.123,5
0.124,0.20199999999999999,5
0.124,0.127,5
0.136,0.21100000000000002,6
0.136,0.20700000000000002,6
0.136,0.2,6
0.136,0.21200000000000002,6
0.136,0.21799999999999997,6
0.136,0.277,6
0.136,0.232,6
0.136,0.6,6
0.136,0.20400000000000001,6
0.136,0.137,6
0.136,0.16999999999999998,6
0.136,1.0070000000000001,6
0.136,0.238,6
0.136,0.5720000000000001,6
0.136,0.522,6
0.136,43.523,6
0.14200000000000002,0.242,7
0.14200000000000002,149.769,7
0.14200000000000002,0.19099999999999998,7
0.14200000000000002,0.245,7
0.14200000000000002,0.263,7
0.14200000000000002,0.25,7
0.14200000000000002,0.22000000000000003,7
0.14200000000000002,0.311,7
0.14200000000000002,0.161,7
0.163,0.16599999999999998,8
0.163,0.16899999999999998,8
0.163,0.159,8
0.163,0.17400000000000002,8
0.163,0.18,8
0.163,0.172,8
0.163,0.16699999999999998,8
0.163,0.181,8
0.163,0.21400000000000002,8
0.163,0.22999999999999998,8
0.163,0.237,8
0.163,0.21100000000000002,8
0.163,0.264,8
0.163,2.1310000000000002,8
0.163,0.198,8
1.98,2.6069999999999998,9
1.98,2.077,9
1.98,2.038,9
1.98,1.927,9
1.98,5.709,9
1.98,1.9340000000000002,9
1.98,2.706,9
1.98,136.982,9
1.98,2.222,9
1.98,2.226,9
1.98,2.162,9
1.98,1.385,9
1.98,1.71,9
1.98,2.786,9
1.98,2.562,9
16.258999999999997,6.758,10
16.258999999999997,7.382,10
16.258999999999997,20.492,10
16.258999999999997,15.865000000000002,10
16.258999999999997,18.323,10
16.258999999999997,25.515,10
16.258999999999997,55.422999999999995,10
16.258999999999997,50.176,10
16.258999999999997,7.284000000000001,10
16.258999999999997,55.885,10
16.258999999999997,77.944,10
16.258999999999997,8.262,10
16.258999999999997,47.869,10
0.192,0.382,11
0.192,0.339,11
0.192,141.044,11
0.192,0.20900000000000002,11
0.192,0.211,11
0.192,0.335,11
0.192,0.34199999999999997,11
0.192,0.342,11
0.192,0.28600000000000003,11
0.192,0.298,11
0.192,0.22100000000000003,11
0.192,0.28700000000000003,11
0.192,0.198,11
0.192,0.572,11
0.192,0.77,11
0.446,1.633,12
0.446,1.682,12
0.446,0.622,12
0.446,0.6869999999999999,12
0.446,0.7859999999999999,12
0.446,0.47,12
0.446,0.718,12
0.446,1.99,12
0.446,0.536,12
0.446,3.52,12
0.446,0.48000000000000004,12
0.446,0.44399999999999995,12
0.446,149.808,12
0.446,0.443,12
0.446,0.492,12
0.163,0.285,13
0.163,0.249,13
0.163,0.16699999999999998,13
0.163,0.33099999999999996,13
0.163,0.159,13
0.163,0.15,13
0.163,0.27,13
0.163,0.319,13
0.163,0.257,13
0.163,0.245,13
0.163,0.27,13
0.163,0.254,13
0.163,0.279,13
0.163,0.20500000000000002,13
0.163,0.8180000000000001,13
0.163,0.247,13
12.372,5.515,14
12.372,5.609999999999999,14
